time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
16163104.0,-0.352608,-0.947058,0.037285,-0.004331,0.007427,-0.002791,-0.181365240523116,-0.07252881256830766,-0.007786490149210273,-0.0050607419790645045,-0.003122089064560198,-0.006808011566844457
16163114.0,-0.352853,-0.946813,0.037285,-0.008166,0.004983,-0.006429,-0.16610238336765115,-0.06628373281884643,-0.004828289788046057,-0.007824570551994111,-0.007514503612446975,-0.0038928417814480952
16163124.0,-0.350164,-0.943391,0.038262,-0.009444,0.011704,-0.002185,-0.14885662115036838,-0.05832929882624526,-0.005764220288198369,-0.011187796937251094,-0.003322808923293301,-0.009733402157011567
16163134.0,-0.350164,-0.944613,0.037285,-0.013917,0.009871,-0.002791,-0.13311865773416462,-0.05276203142112965,-0.0021050611946316408,-0.015136348057265943,-0.004800602269302774,-0.0068377186503443205
16163144.0,-0.346741,-0.947791,0.036063,-0.013917,0.009871,-0.007642,-0.11347088840695187,-0.04710526007132326,0.002368740877702133,-0.014475326819483164,-0.009621848447425148,-0.006885102753331555
16163154.0,-0.345519,-0.947302,0.038262,-0.014556,0.012315,-0.013099,-0.09708179822354636,-0.0387353493799829,0.003644925444797617,-0.014953104671960692,-0.015098545821479709,-0.009141046808000984
16163164.0,-0.350164,-0.946324,0.04095,-0.021586,0.011704,-0.015525,-0.08662986086192179,-0.030613595682571923,0.005673365133246632,-0.02123845030091413,-0.01871548123835404,-0.006528677341729977
16163174.0,-0.354075,-0.944369,0.037774,-0.018391,0.013537,-0.016131,-0.09037715206378978,-0.03436491960505032,0.004629191068713313,-0.01859520701572382,-0.018759595529921586,-0.009164292803927724
16163264.0,-0.357986,-0.943391,0.044615,-0.03309,0.005594,-0.027652,-0.0794446479271643,-0.022903715058764137,0.006625561494558826,-0.028627236168157762,-0.03265083944565371,0.0022974056817776606
16163274.0,-0.361164,-0.94168,0.04266,-0.03309,0.004983,-0.020982,-0.06658484747589907,-0.020021746571839454,0.007068081435820462,-0.029428419906505313,-0.02606012910208179,0.003854930088760578
16163284.0,-0.36043,-0.94168,0.042416,-0.031173,9.5e-05,-0.013706,-0.04973596133742032,-0.014708848475998435,0.007859170857889605,-0.027147894746175655,-0.018544437604194178,0.008872149389788085
16163294.0,-0.359941,-0.937524,0.041194,-0.029895,-0.004793,-0.000972,-0.03391161604808646,-0.01121947143507055,0.00445499921635353,-0.026143063870445432,-0.0057030404164574704,0.014200147868035156
16163304.0,-0.358475,-0.938013,0.043637,-0.025421,-0.007849,0.009943,-0.017339000065153574,-0.002254910297472558,0.004973221543385588,-0.0223957515258343,0.005869547325903299,0.01645223446167942
16163314.0,-0.358719,-0.939479,0.038507,-0.032451,-0.165491,0.020857,-0.00039876622594601824,-0.0011207598520667458,0.006370451838611459,0.02608931811631028,0.018529394700498438,0.16688727316143406
