time,aX,aY,aZ,gX,gY,gZ,aX_T,aY_T,aZ_T,gX_T,gY_T,gZ_T
93187.0,-0.863744,0.50238,0.110094,-0.041398,-0.000516,-0.048875,0.23921153231990536,0.3152190231047255,-0.07589239747199064,-0.04479665556327922,0.03113528714531629,0.033566051744636685
93197.0,-0.862277,0.504091,0.110583,-0.036925,-0.000516,-0.046449,0.23302050053002657,0.3059423894146373,-0.07158271149714258,-0.042394098278032644,0.029227971480230094,0.029490635739898297
93207.0,-0.861544,0.505314,0.110827,-0.027977,0.00315,-0.046449,0.22606276501010228,0.29641918651445653,-0.06677215075679675,-0.03852638892195807,0.03186142655367521,0.021229966665041847
93217.0,-0.86521,0.508981,0.111805,-0.04012,0.002539,-0.040386,0.22020871260687383,0.28804662388477825,-0.05729770030692941,-0.03713541230804433,0.02684127306132065,0.033876203006818394
93227.0,-0.864966,0.507025,0.11156,-0.035007,0.000706,-0.037354,0.21056699114523617,0.27626220734858026,-0.05288495925155325,-0.035193426964819266,0.02330649249664131,0.028974815046449127
93237.0,-0.864722,0.508981,0.113026,-0.039481,-0.002349,-0.035535,0.20463120370370727,0.26617310536306676,-0.04770875212824018,-0.03702589955958156,0.019230941469066985,0.032958413781872115
93247.0,-0.861788,0.507269,0.111805,-0.041398,0.004372,-0.028258,0.1949924972585254,0.2551633554054404,-0.04639088647333033,-0.02816068421746418,0.01905938866849254,0.03708286558489786
93257.0,-0.864477,0.508981,0.11156,-0.043315,0.002539,-0.027652,0.1952385739643652,0.2564441663463674,-0.043471869586012755,-0.029304765730912473,0.017155974277637872,0.038654522400895945
93318.0,-0.862522,0.512159,0.106918,-0.057375,-0.003571,-0.029471,0.18592732948456156,0.25127205691101745,-0.040846267767546504,-0.038237882465587236,0.012228676589300099,0.05061132600932564
93328.0,-0.858855,0.509714,0.107407,-0.054819,-0.000516,-0.033109,0.17730821045062536,0.23874886772929815,-0.04055364238808287,-0.03884817120546982,0.016539068559660433,0.048154685163225366
93338.0,-0.859588,0.509225,0.10985,-0.057375,-0.001738,-0.036141,0.17029971506590544,0.22594576986316708,-0.035523370423931805,-0.04294164474750142,0.01679932188632303,0.04974817665542218
93348.0,-0.85861,0.509714,0.107895,-0.057375,-0.000516,-0.034928,0.16105506509264078,0.2169362660879263,-0.03270441571108506,-0.04172344216207626,0.01633956522143206,0.050042932043620765
93358.0,-0.857633,0.507269,0.109117,-0.052263,-0.001127,-0.041599,0.1521838550457761,0.20379918800634167,-0.03042860707920947,-0.04606390197411929,0.02030579908826302,0.04391992210040707
93368.0,-0.85641,0.508981,0.112782,-0.058653,-0.00296,-0.042811,0.14787444862329335,0.1920114269428544,-0.027125760772377345,-0.05029115370798318,0.018396576850199863,0.04913332422007187
93378.0,-0.860566,0.510448,0.10814,-0.072074,-0.004793,-0.039779,0.13566048768625583,0.18469817481810843,-0.020046900632695454,-0.053535075033922755,0.012580034348072216,0.06144706374525626
93388.0,-0.859344,0.510692,0.109117,-0.063127,-0.001738,-0.03796,0.1368904688402053,0.18440545581363288,-0.02100021639641076,-0.04770860860073924,0.014892175657026033,0.05413974642147628
93450.0,-0.854699,0.503603,0.112293,-0.072074,0.003761,-0.038567,0.12767461497800928,0.16726705756863633,-0.024060962866251916,-0.048034892844626025,0.017373798062023754,0.06392980757287885
93459.875,-0.854455,0.505069,0.115714,-0.070796,0.00315,-0.039779,0.12265713723966842,0.15552873745775336,-0.020539020638919762,-0.049457373423520495,0.017211232515494914,0.06214584979179235
93469.75,-0.857144,0.505803,0.114248,-0.065044,0.005594,-0.04463,0.11270284065119926,0.14596419929526325,-0.015328664334010837,-0.050288619707162655,0.02248950909804577,0.05673736317874924
93479.625,-0.859099,0.505314,0.114248,-0.06824,0.008038,-0.050088,0.10338755270525858,0.13454258701809538,-0.011235497135392163,-0.05439495568957834,0.026656321017684968,0.059671971086356246
93489.5,-0.86081,0.506536,0.114248,-0.063127,0.014148,-0.054332,0.09497504618923767,0.12447408175653293,-0.006968719288148592,-0.052740329597613635,0.03419901550294959,0.05644497523751865
93499.375,-0.862766,0.50947,0.116202,-0.063766,0.007427,-0.056151,0.08909769393351191,0.11405544160867033,-0.0017611940847113172,-0.05871892862887337,0.02980721273548292,0.054201617832117716
93509.25,-0.864477,0.508981,0.114492,-0.059932,0.01537,-0.05797,0.07825610146861771,0.10383049662334057,0.0012920505566214062,-0.05458015353336901,0.03689990615318979,0.05336671425298408
93519.125,-0.865944,0.51167,0.118646,-0.058653,0.01537,-0.058577,0.08235967628388627,0.10267146442457141,0.004199943968992255,-0.05457946598421761,0.03757607870584946,0.052122897463297645
93580.0,-0.868633,0.512648,0.117424,-0.045233,0.019036,-0.036748,0.07247006380659103,0.09240151250874218,0.008627635307978812,-0.03211253272379056,0.027985533609376077,0.04409539930267062
93589.875,-0.867655,0.512403,0.115469,-0.053541,0.018425,-0.030684,0.06246796590906463,0.08256693080420344,0.008957669363664473,-0.03144162208049907,0.021057518580273295,0.05211173067734863
93599.75,-0.868388,0.509959,0.116447,-0.053541,0.013537,-0.024014,0.05254446855862578,0.06886182749479745,0.010055905171574363,-0.029812995451988355,0.012568204124955603,0.05079160160157553
93609.625,-0.867655,0.510448,0.117913,-0.049706,0.015981,-0.016738,0.04543497986013569,0.0570184871065444,0.010925511613585386,-0.022091886606826008,0.009776121803905505,0.04922007141021177
93619.5,-0.86961,0.509959,0.115958,-0.052902,0.011093,-0.01128,0.03414899602927076,0.04622897082581577,0.013125224180889952,-0.02251820404059511,0.0013247439950363348,0.05039930746680694
93629.375,-0.868388,0.506781,0.116691,-0.05418,0.00926,-0.01795,0.023786609761777044,0.033300864601791005,0.01136874561102281,-0.02939192941516594,0.0036631702035372013,0.049660025869041
93639.25,-0.864477,0.508736,0.120356,-0.057375,0.00926,-0.025227,0.020866725242663624,0.021852363186616264,0.009804645444755036,-0.036393050898946386,0.00708559044558607,0.05137489667438872
93649.125,-0.865699,0.508736,0.115714,-0.059932,0.004372,-0.030078,0.016987811180392345,0.02463309401401512,0.010317490219582389,-0.04366380350802872,0.006291306444068529,0.05069059891576623
93710.0,-0.862033,0.508003,0.112293,-0.074631,-0.005404,-0.025833,0.007173782920993211,0.01595191743910836,0.006713331646908394,-0.052377238157649025,-0.008104738572760494,0.05879856632303311
93720.0,-0.85641,0.508003,0.114248,-0.064405,-0.004793,-0.021588,0.004981919241092238,0.003929972465634542,0.0022561935004911976,-0.04505093539046453,-0.008209102894835818,0.0503988339955022
93730.0,-0.85641,0.508003,0.110827,-0.073352,-0.000516,-0.008855,-0.004471532409699917,-0.005859397560126929,0.0018649773777609305,-0.037567238556860894,-0.017420414892334094,0.06119170627781881
93740.0,-0.853233,0.508736,0.110827,-0.07527,0.002539,-0.008855,0.009524969570210184,0.0012196168843659992,-0.0004954820495597208,-0.035918154753217246,-0.015648079068209204,0.06492652945136534
93750.0,-0.854455,0.510936,0.108384,-0.066962,0.003761,-0.00461,-0.004083797228650188,-0.002032819073632879,0.0014365805300947598,-0.029471955485507448,-0.015488294024348025,0.0584022538355808
93760.0,-0.853477,0.508247,0.107162,-0.06121,-0.001127,-0.001578,-0.0002026312459235141,0.01018715561443493,-0.0009415044237573834,-0.02717478802651422,-0.018331054157940556,0.05172936943528956
93770.0,-0.852255,0.511914,0.110583,-0.058653,0.00315,0.000847,0.0016212020957504616,-0.0018707127289300375,0.00030845265230570134,-0.022176739864158874,-0.016970597717821948,0.05168176990097459
93780.0,-0.851766,0.513381,0.107162,-0.058014,0.003761,0.007517,0.00012124490699213243,0.0015707027466718034,0.0002732538429455325,-0.01670971057083327,-0.020861939223244926,0.05217125329608844
93841.0,-0.849077,0.514848,0.109361,-0.042676,-0.001127,-0.015525,-0.008248455589205197,-0.005429291721897726,-0.001069307145990661,-0.030171909885779804,-0.00399706831033382,0.03372263377565442
93851.0,-0.847855,0.513381,0.108628,-0.040759,0.001928,-0.021588,0.002131968805121583,0.004095347955986432,-0.002905783085603835,-0.03176806011054645,0.0030521118510609866,0.03335460956241762
93861.0,-0.84761,0.514359,0.110339,-0.04012,-0.001738,-0.030684,-0.0030252625047820655,-0.008197158874495965,-0.0024498798179795702,-0.04033743725617833,0.006564587065894851,0.02973113271064798
93871.0,-0.850055,0.514848,0.109117,-0.04012,0.000706,-0.035535,0.002081484355106871,0.005142365794007939,-0.00023117206280132352,-0.04236389673634683,0.011844201088404534,0.030624568811488263
93881.0,-0.850544,0.516804,0.109361,-0.041398,-0.005404,-0.038567,-0.008962421197247423,-0.00023968139326149555,0.0011947444089551117,-0.04875112901665556,0.009200590217645457,0.02773242990162187
93891.0,-0.851766,0.51607,0.113026,-0.049067,-0.00846,-0.045843,0.0052023017988564735,0.0034981364243080446,0.002281966030293388,-0.05857854223839009,0.009836734772248388,0.032442499537575546
93901.0,-0.854455,0.51607,0.113026,-0.04012,-0.007849,-0.047662,-0.0035723556981021778,-0.008904104131108724,0.004541897486306037,-0.056033822252814065,0.013971899219380489,0.024655308575305162
93911.0,-0.853233,0.518026,0.110583,-0.036285,-0.010293,-0.051907,-0.0037918785872009917,-0.0055633640964751945,0.004261300404784893,-0.05881667219773945,0.01644658334151039,0.019672129802703574
93972.0,-0.859588,0.519737,0.113759,-0.053541,-0.02679,-0.038567,-0.004116344661488376,0.004063982954769334,0.010903422065219229,-0.065240429347401,-0.008748844429128448,0.02718272189685363
93982.0,-0.857877,0.521204,0.116935,-0.052263,-0.031678,-0.039779,0.0039014425225278844,-0.005896333267506796,0.010559430696800522,-0.06809561116541407,-0.01105349188438989,0.023624007940450373
93992.0,-0.858121,0.52096,0.114981,-0.057375,-0.027401,-0.036141,-0.0018223906047289773,0.00611252073071538,0.0104211590147945,-0.06541236131203824,-0.01197661242527529,0.030441107887166374
94002.0,-0.859344,0.520715,0.115958,-0.052263,-0.024957,-0.033109,0.001490861271324318,-0.005126907748493305,0.011451418247365992,-0.05962828801854135,-0.011072681258819082,0.027791039863928706
94012.0,-0.859344,0.519982,0.117424,-0.050984,-0.024346,-0.034322,0.002749178685447348,0.006461393601421936,0.011233147619915994,-0.059631391930874265,-0.009105930658569185,0.02704209273018259
94022.0,-0.860566,0.518515,0.115714,-0.04715,-0.025568,-0.030078,-0.00455783320679498,-0.006218175597084531,0.011316931444195287,-0.05567312527148851,-0.011900017343689407,0.02324701954498765
94032.0,-0.856899,0.520715,0.115958,-0.049706,-0.02068,-0.023408,0.006994935128164673,0.008399282563983616,0.009329870817743573,-0.04902160984477037,-0.013602166113004431,0.029294131584010927
94042.0,-0.863255,0.520226,0.115958,-0.049706,-0.021291,-0.014312,0.004077804547740432,0.00610509508032672,0.01451300789547808,-0.04268637150575468,-0.020115810455535642,0.030034219124020156
94104.0,-0.848588,0.516315,0.116691,-0.034368,-0.00846,-0.024014,0.000268191626948743,-0.0038115658627772904,0.00014247109545577043,-0.03667731711286351,-0.000474296864731378,0.021998924334761364
94114.0,-0.85421,0.515337,0.114981,-0.030534,-0.007237,-0.037354,0.008760294710752172,-0.001560366507609803,0.004185441302024949,-0.04393228287456941,0.010585970842659007,0.01838239330846745
94124.0,-0.854455,0.519248,0.112538,-0.02606,0.000706,-0.042205,-0.0013383589994059744,0.006187921493046373,0.006149368829392086,-0.041538672836281855,0.020637958931474312,0.01759253737080354
94134.0,-0.854699,0.515581,0.11718,-0.024782,-0.002349,-0.047056,-0.003761521147020237,-0.011907260371196545,0.004942470329079679,-0.04623880943196065,0.022055201223312507,0.014473184249294314
